RR BUSCARONS	Riera de Buscarons	OSM
RR TORRE	Riera de la Torre	OSM
RR PINAR	Riera del Pinar	OSM
CL RIERA D'EN MISSER	Ronda d'en Misser	OSM
RD JOSEP ANSELM CLAVE	Ronda de Josep Anselm Clavé	OSM
RD SANT ELM	Ronda de Sant Elm	OSM
RD SANT JORDI	Ronda de Sant Jordi	OSM
RD DOCTOR MANRESA	Ronda del Doctor Manresa	OSM
RD DOCTOR ANGLES	Ronda del Doctor Anglès	OSM
RD DOCTOR FLEMING	Ronda del Doctor Fleming	OSM
RD FERRER DE CANET	Ronda del Ferrer de Canet	OSM
RR LLEDONERS	Torrent dels Lledoners	OSM
CL VIA CARLES PASCUAL	Via de Carles Pascual	OSM
CL SANT MIQUEL	Carrer de Sant Miquel	OSM
PZ INDUSTRIA	Plaça de la  Indústria	OSM
PZ BUSQUETS	Plaça de Busquets	OSM
