000300100QA71D	000300100QA71D
11007A00800026	11007A00800001
11007A00800027	11007A00800001
11007A00800028	11007A00800001
11007A00800030	11007A00800001
11007A00800033	11007A00800001
11007A00800034	11007A00800001
11007A00800035	11007A00800001
11007A00800036	11007A00800001
11007A00800037	11007A00800001
11007A00800038	11007A00800001
11007A00800053	11007A00800001
11007A00800067	11007A00800001
11007A00800069	11007A00800001
11007A00800070	11007A00800001
11007A00800074	11007A00800001
11007A00800075	11007A00800001
11007A00800077	11007A00800001
11007A00800078	11007A00800001
11007A00800079	11007A00800001
11007A00800080	11007A00800001
11007A00800081	11007A00800081
11007A00800088	11007A00800081
11007A00800089	11007A00800081
11007A00800091	11007A00800081
11007A00800093	11007A00800081
11007A00800094	11007A00800081
11007A00800097	11007A00800081
11007A00800098	11007A00800081
11007A00800099	11007A00800081
11007A00800100	11007A00800081
11007A00800101	11007A00800081
11007A00800103	11007A00800081
11007A00800104	11007A00800081
11007A00800105	11007A00800081
11007A00800106	11007A00800081
11007A00800107	11007A00800001
11007A00800108	11007A00800001
11007A00800109	11007A00800001
11007A00800110	11007A00800081
11007A00800111	11007A00800081
11007A00800112	11007A00800081
11007A00800113	11007A00800081
11007A00800115	11007A00800081
11007A00800116	11007A00800081
11007A00800117	11007A00800081
11007A00800118	11007A00800081
11007A00800119	11007A00800081
11007A00800122	11007A00800081
11007A00800123	11007A00800081
11007A00800124	11007A00800081
11007A00800127	11007A00800081
11007A00800128	11007A00800081
11007A00800129	11007A00800081
11007A00800130	11007A00800081
11007A00800131	11007A00800081
11007A00800132	11007A00800132
11007A00800133	11007A00800132
11007A00800136	11007A00800081
11007A00800141	11007A00800132
11007A00800143	11007A00800132
11007A00800144	11007A00800132
11007A00800146	11007A00800132
11007A00800147	11007A00800132
11007A00800148	11007A00800132
11007A00800149	11007A00800132
11007A00800150	11007A00800132
11007A00800151	11007A00800132
11007A00800152	11007A00800132
11007A00800153	11007A00800132
11007A00800154	11007A00800132
11007A00800155	11007A00800132
11007A00800156	11007A00800132
11007A00800157	11007A00800132
11007A00800158	11007A00800132
11007A00800159	11007A00800132
11007A00800160	11007A00800132
11007A00800161	11007A00800132
11007A00800162	11007A00800132
11007A00800163	11007A00800132
11007A00800164	11007A00800132
11007A00800165	11007A00800132
11007A00800166	11007A00800132
11007A00800167	11007A00800132
11007A00800168	11007A00800132
11007A00800169	11007A00800132
11007A00800178	11007A00800178
11007A00800179	11007A00800132
11007A00800180	11007A00800178
11007A00800182	11007A00800178
11007A00800185	11007A00800178
11007A00800186	11007A00800178
11007A00800187	11007A00800178
11007A00800189	11007A00800178
11007A00800190	11007A00800178
11007A00800191	11007A00800178
11007A00800192	11007A00800178
11007A00800196	11007A00800196
11007A00800197	11007A00800178
11007A00800202	11007A00800081
11007A00800207	11007A00800081
11007A00800212	11007A00800178
11007A00800216	11007A00800132
11007A00800217	11007A00800132
11007A00800218	11007A00800081
11007A00800219	11007A00800081
11007A00800220	11007A00800178
11007A00800221	11007A00800178
11007A00800223	11007A00800081
11007A00800224	11007A00800224
11007A00800226	11007A00800178
11007A00800227	11007A00800081
11007A00800228	11007A00800132
11007A00800231	11007A00800132
11007A00801000	11007A00800001
11007A00801002	11007A00800001
11007A00801007	11007A00800081
11007A00801008	11007A00800081
11007A00801009	11007A00800081
11007A00801010	11007A00800081
11007A00801012	11007A00800196
11007A00801013	11007A00800081
11007A00801014	11007A00800081
11007A00801015	11007A00800081
11007A00801016	11007A00800081
11007A00801017	11007A00800081
11007A00801018	11007A00800081
11007A00801020	11007A00800081
11007A00801021	11007A00800132
11007A00801022	11007A00800081
11007A00801023	11007A00800081
11007A00801027	11007A00800081
11007A00900018	11007A00900018
11007A00900021	11007A00900018
11007A00900023	11007A00900018
11007A00900025	11007A00900018
11007A00900026	11007A00900018
11007A00900027	11007A00900018
11007A00900028	11007A00900018
11007A00900029	11007A00900018
11007A00900030	11007A00900018
11007A00900047	11007A00900047
11007A00900049	11007A00900047
11007A00900050	11007A00900047
11007A00900051	11007A00900047
11007A00900052	11007A00900047
11007A00900054	11007A00900047
11007A00900055	11007A00900047
11007A00900056	11007A00900047
11007A00900057	11007A00900047
11007A00900058	11007A00900047
11007A00900060	11007A00900047
11007A00900061	11007A00900047
11007A00900064	11007A00900047
11007A00900065	11007A00900047
11007A00900067	11007A00900047
11007A00900068	11007A00900047
11007A00900069	11007A00900047
11007A00900070	11007A00900047
11007A00900071	11007A00900047
11007A00900074	11007A00900047
11007A00900075	11007A00900047
11007A00900076	11007A00900047
11007A00900077	11007A00900047
11007A00900079	11007A00900047
11007A00900080	11007A00900047
11007A00900081	11007A00900047
11007A00900083	11007A00900047
11007A00900087	11007A00900047
11007A00900088	11007A00900047
11007A00900089	11007A00900047
11007A00900090	11007A00900047
11007A00900094	11007A00900094
11007A00900095	11007A00900094
11007A00900097	11007A00900094
11007A00900100	11007A00900094
11007A00900102	11007A00900094
11007A00900103	11007A00900094
11007A00900108	11007A00900108
11007A00900110	11007A00900110
11007A00900118	11007A00900047
11007A00900125	11007A00900018
