CL COMERC.BOTIGUER	Carrer des Comerciants i Botiguers
CL FERRERS	Carrer des Ferrers
CL FORNERS I PASTISSERS	Carrer des Forners i Pastissers
CL FUSTERS	Carrer des Fusters
CL IMPRESSORS	Carrer dels Impressors
CL INDUSTRIALS	Carrer des Industrials
CL MAGNIFICS JURATS	Carrer des Magnífics Jurats
CL MANOBRES	Carrer des Manobres
CL MARINERS I PESCADORS DELS	Carrer des Mariners i Pescadors
CL SASTRES	Carrer des Sastres
CL DES BRUC	Carrer des Bruc
CL CASTELL RUPIT	Carrer des Castell Rupit
CL DEGOLLADOR	Carrer des Degollador
CL MERCADAL	Carrer des Mercadal
CL PAGESOS	Carrer des Pagesos
CL PORTAL D'ARTRUTX	Carrer des Portal d'Artrutx
CL DES POU DE TORN	Carrer des Pou de Torn
CL RACO DE SES GALLINES	Carrer des Racó de ses Gallines
CL SOCORS	Carrer des Socors
CL GERRERIES	Carrer ses Gerreries
CR CARRERO D'EN COMELLES	Carreró d’en Comelles
CR CIUTADELLA-SA CALETA	Carretera de Ciutadella a Cap d'Artrutx
CR RACO DES FRARES	Carreró Raco des Frares
CL COSTA QUINTANA	Costa de sa Quintana
PJ SEVILLA	Pasaje/Pasadizo Sevilla
PJ PASSATGE IAMONNA	Passatge Iamonna
PJ MIRAMAR	Passatge Miramar
PJ PIUS VI	Passatge Pius VI
PJ SINDICAT	Passatge Sindicats
PS MARITIM	Passeig Marítim
PS SANT NICOLAU	Passeig de Sant Nicolau
PS PASSEIG DES MOLL	Passeig des Moll
PZ PLACETA DEL TORO	Placeta de El Toro
PZ ROSER	Placeta del Roser
PZ COLON	Plaça des Pins
PZ JOAN DE BORBO	Plaça Joan de Borbó
PZ ALFONS III	Plaça d’Alfons III
PZ DALT ES PENYALS	Plaça de Dalt es Penyals
PZ FEDERICO PAREJA	Plaça de Federico Pareja
PZ JAUME II	Plaça de Jaume II de Mallorca
PZ LLIBERTAT	Plaça de sa Llibertat
PZ NOVA	Plaça Nova
PZ PRINCESA JOANA	Plaça de la Princesa Joana
PZ DALT SA QUINTANA	Plaça de Dalt sa Quintana
PZ ARTRUTX	Plaça d'Artrutx
PZ FRANCESC NETTO	Plaça de Francesc Netto
PZ MENORCA	Plaça de Menorca
PZ SANT ANTONI	Plaça de Sant Antoni
PZ EXPEDITO	Plaça de Son Expedito
PZ ALMIRALL FARRAGUT	
PZ CATEDRAL	Plaça de la Catedral
PZ CONCORDIA	Plaça de sa Concòrdia
PZ PAU	Plaça de sa Pau
PZ BORN	Plaça des Born
PZ PINS	Plaça des Pins
PZ FONT	Plaça de sa Font
RD BALEARS	Ronda de Balears
TR SANT JORDI	Travessia de Sant Jordi
TR DOCTOR FLEMING	
TR SA CALETA	
CL ALBENIZ	Via de Albéniz
CL MANUEL DE FALLA	Via de Manuel de Falla
CL MESTRE VIVES	Via de Mestre Vives
CL VERDI	Via de Verdi
