CJ RISCO AZUL (EL RIO) (RIO EL)	
CJ TRASERA ERMITA (VILLA A) (VILLA DE ARICO)	
CL CALLEJON CARDON C (VILLA DE ARICO)	Callejón Cardón
CL CALLEJON GUARDIA CIVIL (VILLA DE ARICO)	Callejón Guardia Civil
CJ SANTANA (VILLA ARICO) (VILLA DE ARICO)	Callejón Santana
CM REAL (EL RIO) (RIO EL)	Camino Real de Arico
CM FUENTE BLANCA	Camino Fuente Blanca
CM HOYO (TEGUEDITE) (GAVILANES LOS)	Calle el Hoyo
CM POZO LA QUINTA (ARICO NUEVO)	
CM REAL (LA CISNERA) (CISNERA LA)	Camino Real
CM VISO (GAVILANES LOS)	Camino El Viso
CR GENERAL (A VIEJO) (ARICO VIEJO)	Carretera General del Sur
CR GENERAL (EL RIO) (RIO EL)	Carretera General del Sur
CR GENERAL DEL SUR (TF 28)	Carretera General del Sur
CR GENERAL (VILLA DE ARICO)	Carretera General del Sur
CR GENERAL (LA CISNERA) (CISNERA LA)	Carretera General del Sur
CR GENERAL (TEGUEDITE) (GAVILANES LOS)	Carretera General del Sur
CR ENLACE ARICO PORIS DE ABO (ARICO VIEJO)	
CR ENLACE PORIS DE ABONA S M (PORIS DE ABONA)	
CR ENLACE PORIS PUNTA DE ABO (PORIS DE ABONA)	
CR ERAS ICOR (ICOR)	
CR GENERAL LAS AGUELILLAS (ARICO VIEJO)	Carretera General del Sur
CL TAJOZ (ARICO VIEJO)	Lugar El Tajoz
CL IMOSE (ICOR) (ICOR)	Imose
CL MOSCA (ICOR)	Lugar La Mosca
CL AGUELILLAS (ICOR)	Lugar Las Aguelillas
UR LLANOS DEL PORIS (PP LLA) (PORIS DE ABONA)	Llanos de Poris
UR LLANOS DEL PORIS (ARICO NUEVO)	Llanos de Poris
CL LOMO OLIVA (ICOR)	Lugar Lomo Oliva
LG MORRA DE CHO CANARIO (VILLA DE ARICO)	
CL LUIS DELGADO (ICOR)	Luis Delgado
MC ABASTOS (RESTO)	
PJ VILLAS LOS (PORIS DE ABONA)	Pasaje las Villas
PJ CENTENITO (EL RIO) (RIO EL)	Callejón los Centenitos
PJ GUAJARA (EL RIO) (RIO EL)	
PJ LADERITA (EL RIO) (RIO EL)	Calle la Laderita
PZ BENITEZ LUGO (ARICO VIEJO)	
PZ CHASNA (SAN MIGUEL TAJA)	Calle Chasna
PZ CONDE SANTA M DE ABONA (VILLA DE ARICO)	Plaza de Los Condes de Santa María de Abona
PZ AMISTAD (PORIS DE ABONA)	Plaza la Amistad
PZ NUESTRA SEÑORA DE FATIMA (PORIS DE ABONA)	Plaza Nuestra Señora de Fatima
PZ NUESTRA SEÑORA DEL CARMEN (SAN MIGUEL TAJA)	Plaza Nuestra Señora del Carmen
PZ FARO EL (PORIS DE ABONA)	Plazeta el Faro
PL SAU-T3 PLAYA GRANDE (PORIS DE ABONA)	
PR ICOR (ICOR)	
TN SECTOR IX (ZONA COSTA) (SAN MIGUEL TAJA)	
TR CHASNA (SAN MIGUEL) (SAN MIGUEL TAJA)	
TR OROTAVA (SAN MIGUEL TAJA)	
UR ABRIGUITOS (SECT IV) (PORIS DE ABONA)	
UR BARRANCO DEL RIO (PP BAR) (RIO EL)	
UR CASABLANCA (PORIS DE ABONA)	
UR ERAS ALTAS (ICOR)	
UR ERAS LAS (PP LAS ERAS) (PORIS DE ABONA)	
UR FLOREROS LOS (PORIS DE ABONA)	
